Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,Acer,Aspire,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,739.01
New,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1399.0
New,Asus,VivoBook,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,759.01
New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,729.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,749.0
New,HP,255,AMD Athlon,8,256,SSD,RTX 3050,15.6,No,349.0
New,Lenovo,IdeaPad,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,479.0
New,HP,255,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,873.29
New,Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,RTX 3050,15.6,No,589.0
New,Asus,Chromebook,Intel Celeron,8,64,eMMC,RTX 3050,14.0,No,399.01
New,Lenovo,Legion,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,649.0
New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,999.0
New,Lenovo,ThinkBook,Intel Core i5,16,512,SSD,RTX 3050,14.0,No,1019.0
New,MSI,Pulse,Intel Core i7,32,1000,SSD,RTX 3060,17.3,No,1499.0
New,Apple,MacBook Air,Apple M2,8,256,SSD,RTX 3050,13.6,No,1519.0
New,Acer,Aspire,Intel Core i5,8,512,SSD,RTX 3050,17.3,No,729.0
New,MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16.0,No,2599.0
New,HP,15S,Intel Core i7,8,512,SSD,RTX 3050,15.6,No,699.0
New,Lenovo,Legion,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1599.0
New,HP,ProBook,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,739.01
New,Asus,VivoBook,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,709.0
New,Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1059.0
New,MSI,Modern,Intel Core i5,16,512,SSD,RTX 3050,14.0,No,799.0
New,MSI,Modern,Intel Core i7,16,512,SSD,RTX 3050,14.0,No,999.0
Refurbished,Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,899.0
New,MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4070,15.6,No,2299.0
New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1899.0
